eid,input_text,pred
1_Dg-GguWatioW4mvFQKQA,Wonderful sushi [SEP] nice sushis [SEP] liked Dragon Roll [SEP] least favorite veggies [SEP] very friendly staff [SEP] brutal to listen to Love [SEP] great mouthfeel [SEP] well - executed rice [SEP] not a ton of Sushi [SEP] OK salad [SEP] flat in flavor miso soup [SEP] predictable sushi selection [SEP] very creamy fish [SEP] excellent mouthfeel [SEP] good execution Rice,i have been to this restaurant several times and have never been disappointed. the sushi is very good and the rolls are wonderful. i really like the fish and chips and the rice is wonderful. i also like the seaweed salad. the rice and rice is very well done and the fish is well done. i also really liked
PTOkxqHTfjGKWaywQZcBLX,included packing materials [SEP] dangerous packing [SEP] recommend moving [SEP] great experience [SEP] wonderful crew [SEP] great furniture [SEP] antique bookcase [SEP] appreciated care,we had a wonderful experience with this company. the crew was so nice and helpful. they were able to answer our questions and made sure we were taken care of. the installation was great and the process was wonderful. i highly recommend this company!
ILMskiLWsOgnaLTFHDEsbu,cold sauce [SEP] cheap meals [SEP] a bit dry meat [SEP] fantastic chicken [SEP] great spot [SEP] Friendly staff [SEP] great food [SEP] moist Brisket [SEP] signature tomato based [SEP] favorite bbq sauce [SEP] good pulled pork [SEP] much better brisket [SEP] excellent customer service [SEP] highpoint ribs [SEP] great meals,"great food, great customer service and friendly staff. i had the pulled pork sandwich and it was fantastic. the brisket was a little dry and the sauce was a bit dry. the pulled chicken was moist and the bbq sauce was fantastic. my favorite was the pulled pork. the mac and cheese was good too. i will definitely be"
3HmrkEZQWaemS2aPoe-xJA,great time [SEP] Excellent food [SEP] fantastic wine [SEP] great Music [SEP] poor Matt [SEP] reasonably priced wine [SEP] delicious food [SEP] perfectly prepared omelet [SEP] out of this world french toast [SEP] 4-star place [SEP] good time [SEP] good service [SEP] okay wine [SEP] average choices [SEP] great viognier,we had a great time at this place. the food was delicious and the service was excellent. the atmosphere was great. the wine list was excellent. i had the french toast and it was delicious. the food came out in a timely manner and the wine selections were delicious. the wine was reasonably priced and the atmosphere is great.
5s51wuld6gIIiERpDU4yrw,baked fresh bread [SEP] fluffy bread [SEP] loaded with chicken sandwich [SEP] juicy chicken [SEP] perfection grilled [SEP] haphazard salad [SEP] dirty eat - in area [SEP] Very friendly and warm service [SEP] super fatty Lamb [SEP] mouthwatering Spicy chicken sandwich [SEP] good Kabob plate [SEP] very friendly owner [SEP] not disappointed spicy chicken sandwich [SEP] great deal sandwich [SEP] fresh veggies,i ordered the chicken sandwich and it was very good. the lamb sandwich was fresh and the chicken was very tender. the lamb was super tender and had a good amount of chicken and the sauce was warm and fresh. the grilled chicken sandwich was a great deal for the price. the owner was very friendly and service was
82hYL5WPQpvxg8ekDsB83A,good food [SEP] great whole wheat pasta [SEP] really quick food [SEP] worst meals [SEP] good service [SEP] excellent menu [SEP] best mussels [SEP] excellent gravy mushroom sauce [SEP] awesome pork chop [SEP] really really good Bryan chicken [SEP] very slow service [SEP] large portions [SEP] 17 dollars for chicken Parmesan [SEP] expensive everything [SEP] barely any cheese or meat,this place has some of the best food i've had in a long time. the service was excellent and the food was really good. i had the chicken parmesan and it was really good and the sauce was the worst i have ever had. my husband had the french dip which was also really good. my wife had the
6u-x45q0ETB7SQTAAuKSHw,Great place for [SEP] delish hummus [SEP] ) small lamb [SEP] calamari salad [SEP] dinner Grilled [SEP] a starter greek salmon dinner [SEP] One litre bottles of wine [SEP] largest seating capacity [SEP] increased prices [SEP] decreased quality of food [SEP] burnt pork [SEP] too salty to eat starter salad [SEP] far better quality food [SEP] huge restaurant [SEP] ton of indoor seating,"this place is a great addition to the neighborhood. the food is a bit on the high side but the quality of the food makes up for it. i had the grilled chicken salad and it was a huge portion. the pasta salad was a little too salty for my liking, but it was still good. i also had"
5lZpyuWjC7L9uJfLfqIQ_w,fantastic miso broth [SEP] perfect goyza [SEP] amazing flavors [SEP] best ramen [SEP] weren't done right noodles [SEP] Great service [SEP] clean restaurant [SEP] excellant Tonkotsu [SEP] Nice thick broth [SEP] excellent Gyoza [SEP] delicious pork in ramen [SEP] rarely sway dramatically quality [SEP] so good broth [SEP] melt in pork [SEP] extra special ginger marinade,"this is the best ramen i've had in a long time. the broth is perfect, the broth was perfect, and the texture of the ramen was perfect. the service was great, the restaurant is clean and the service is excellent. the ramen broth is perfect and the broth has a perfect texture to it. the broth they use is"
87YsVbCN_kfzheY79Fzjkg,Awesome tiramisu [SEP] amazing cake [SEP] Great experience [SEP] huge help cake tasting [SEP] amazing tastings [SEP] amazing champagne cake with cream cheese filling [SEP] Great service [SEP] wonderfully friendly service [SEP] recommend fruit tart [SEP] awesome Jessica [SEP] exceeded carrot cake [SEP] did decor [SEP] great place [SEP] quick service [SEP] impressive customer service,this place is amazing! the service is great and the decor is amazing. the service was quick and friendly. i had the chocolate cake and it was amazing. the cake cake was amazing and the icing on the cake was amazing. i would definitely recommend this place to anyone looking for a great tasting cake with amazing customer service.
86stmK3Vm2f5W6PdyvuLrQ,good Service [SEP] Good leadership [SEP] love grilled cheese [SEP] extremely slow service [SEP] medium rare Roma Pepper Steak [SEP] good weight watchers meal [SEP] very tasty meal [SEP] Friendly staff [SEP] quick service [SEP] reeeeeeeally good food [SEP] Great staff [SEP] ok Food [SEP] snarky waitress [SEP] uncaring employee [SEP] hardly ever ontime order,the food was good and the service was good. the staff was extremely friendly and the food came out quick. i had the steak and it was good but not great. i also had the grilled cheese steak which was very tasty. my husband had the philly cheese steak and he said it was good. we also had a
-zuJkmIjdRahT_yHED-62g,Terrible service [SEP] excellent service [SEP] fast service [SEP] nicer servers [SEP] AYCE pop [SEP] tiny spoonful [SEP] brand new sushi restaurant [SEP] great place [SEP] amazing volcano roll [SEP] Small portions [SEP] Very slow food [SEP] Not worth money [SEP] Over priced quality [SEP] over vinegar 'd rice [SEP] FRESH SASHIMI,this place is amazing! the service is fast and the servers are very friendly. the food is over priced and the portions are small for the price. the sushi is fresh and the rolls are amazing. the sushi rolls are not worth the price and the service was terrible. the restaurant is small but the service and servers are
5k34OJo3BsEaoyMsW86eZg,good place for [SEP] decent food [SEP] delicious drinks [SEP] fun chatting [SEP] interesting details [SEP] trying too hard atmosphere [SEP] friendly bartenders [SEP] Great beer special [SEP] like Mexican out door atmosphere feel [SEP] great service [SEP] cheap tacos [SEP] cheap drinks [SEP] comfortable black leather [SEP] free acrobatic entertainment [SEP] always beyond packed place,"this is a fun place to hang out with friends. the atmosphere is great, the bartenders are always friendly and the service is always good. the food is decent and the drinks are cheap. i like the fact that they have a lot of beers on tap. the atmosphere and atmosphere are fun and the music is great. the"
0jHZk9RrKh0uRhTRW1XIqQ,fresh bread [SEP] very good amount of food [SEP] very friendly owner [SEP] cooked food [SEP] good moroccan food [SEP] small sit down spot [SEP] enjoyed couscous [SEP] vegan couscous lamb couscous [SEP] An authentic Moroccan [SEP] warm bread [SEP] traditional earthen pot [SEP] authentic food [SEP] hot sweet mint tea beef kabob [SEP] delicious smokey food [SEP] divine bread,the food was good and fresh. the owner is very friendly and the food came out quickly. i had the beef kabob and it was very good. the bread was warm and crispy and the hot sauce was delicious. the food is authentic thai food. i had a small amount of meat and it came out piping hot and
